Date,Value,Day of week,Percent change
2023-02-08,4134.26,2,0.04
2023-02-09,4112.95,3,-0.52
2023-02-10,4077.58,4,-0.86
2023-02-13,4115.78,0,0.94
2023-02-14,4127.39,1,0.28
2023-02-15,4126.04,2,-0.03
2023-02-16,4113.01,3,-0.32
2023-02-17,4064.73,4,-1.17
2023-02-21,4023.77,1,-1.01
2023-02-22,3997.14,2,-0.66
2023-02-23,3998.74,3,0.04
2023-02-24,3960.66,4,-0.95
2023-02-27,3995.8,0,0.89
2023-02-28,3983.24,1,-0.31
2023-03-01,3955.39,2,-0.7
2023-03-02,3959.5,3,0.1
2023-03-03,4021.73,4,1.57
2023-03-06,4061.55,0,0.99
2023-03-07,4015.16,1,-1.14
2023-03-08,3985.08,2,-0.75
2023-03-09,3963.26,3,-0.55
2023-03-10,3890.19,4,-1.84
2023-03-13,3856.96,0,-0.85
2023-03-14,3905.46,1,1.26
2023-03-15,3866.25,2,-1.0
2023-03-16,3914.28,3,1.24
2023-03-17,3930.09,4,0.4
2023-03-20,3936.76,0,0.17
2023-03-21,3990.14,1,1.36
2023-03-22,3987.83,2,-0.06
2023-03-23,3963.36,3,-0.61
2023-03-24,3940.95,4,-0.57
2023-03-27,3987.16,0,1.17
2023-03-28,3965.36,1,-0.55
2023-03-29,4015.06,2,1.25
2023-03-30,4044.98,3,0.75
2023-03-31,4083.46,4,0.95
2023-04-03,4113.23,0,0.73
2023-04-04,4110.0,1,-0.08
2023-04-05,4086.12,2,-0.58
2023-04-06,4088.58,3,0.06
2023-04-10,4091.02,0,0.06
2023-04-11,4113.43,1,0.55
2023-04-12,4110.66,2,-0.07
2023-04-13,4124.83,3,0.34
2023-04-14,4138.2,4,0.32
2023-04-17,4137.45,0,-0.02
2023-04-18,4154.92,1,0.42
2023-04-19,4148.53,2,-0.15
2023-04-20,4131.57,3,-0.41
2023-04-21,4125.94,4,-0.14
2023-04-24,4130.09,0,0.1
2023-04-25,4098.91,1,-0.75
2023-04-26,4069.51,2,-0.72
2023-04-27,4106.76,3,0.92
2023-04-28,4148.62,4,1.02
2023-05-01,4175.52,0,0.65
2023-05-02,4126.91,1,-1.16
2023-05-03,4118.58,2,-0.2
2023-05-04,4065.44,3,-1.29
2023-05-05,4115.88,4,1.24
2023-05-08,4133.06,0,0.42
2023-05-09,4123.5,1,-0.23
2023-05-10,4126.6,2,0.08
2023-05-11,4121.04,3,-0.13
2023-05-12,4121.43,4,0.01
2023-05-15,4125.76,0,0.11
2023-05-16,4122.7,1,-0.07
2023-05-17,4139.15,2,0.4
2023-05-18,4177.85,3,0.93
2023-05-19,4196.56,4,0.45
2023-05-22,4194.45,0,-0.05
2023-05-23,4164.11,1,-0.72
2023-05-24,4118.47,2,-1.1
2023-05-25,4147.73,3,0.71
2023-05-26,4184.51,4,0.89
2023-05-30,4211.64,1,0.65
2023-05-31,4180.8,2,-0.73
2023-06-01,4202.04,3,0.51
